feature,gain,splits,perm_drop
icmp_inerr_rate__min,0.0,0,0.0
icmp_inerr_rate__max,724.5430297851562,1,0.0
icmp_inerr_rate__mean,2822.1919555664062,5,-1.5262311570951592e-06
icmp_inerr_rate__std,0.0,0,0.0
icmp_inerr_rate__last,0.0,0,0.0
icmp_inerr_rate__delta,0.0,0,0.0
icmp_inerr_rate__slope,0.0,0,0.0
rapl_power__min,200260.81536865234,49,0.005538631061207666
rapl_power__max,128985.26370239258,39,0.0003400130754540043
rapl_power__mean,123849.13360595703,36,0.0010871953979397497
rapl_power__std,23470.190795898438,8,0.0001341996088914943
rapl_power__last,5827.976135253906,3,-1.4074988022638735e-05
rapl_power__delta,0.0,0,0.0
rapl_power__slope,0.0,0,0.0
gpu_duty_mean__min,83889.23034667969,27,0.0005536550726066569
gpu_duty_mean__max,171113.35522460938,50,-0.0013249112472164537
gpu_duty_mean__mean,147568.12518310547,43,2.4048356139783067e-08
gpu_duty_mean__std,57540.21697998047,28,4.159661425037764e-05
gpu_duty_mean__last,14187.659973144531,8,0.0006572320948917965
gpu_duty_mean__delta,0.0,0,0.0
gpu_duty_mean__slope,0.0,0,0.0
gpu_duty_min__min,3388.7099609375,3,-0.00017181909471417067
gpu_duty_min__max,48687.051696777344,15,-0.0009968183581577361
gpu_duty_min__mean,35054.551696777344,13,-0.00045373453633221206
gpu_duty_min__std,33407.85418701172,13,0.0004195956322342598
gpu_duty_min__last,0.0,0,0.0
gpu_duty_min__delta,0.0,0,0.0
gpu_duty_min__slope,0.0,0,0.0
gpu_temp_max__min,17534.939086914062,11,0.00010181683229107397
gpu_temp_max__max,59715.577880859375,15,0.0002455290794527165
gpu_temp_max__mean,47249.61700439453,23,0.0009933860895433577
gpu_temp_max__std,21336.018127441406,15,0.0006305126174236952
gpu_temp_max__last,4513.39501953125,2,0.00010198650219866989
gpu_temp_max__delta,1637.3510437011719,3,-9.30938298421835e-05
gpu_temp_max__slope,0.0,0,0.0
gpu_temp_spread__min,42778.25680541992,33,-0.0004489180228820222
gpu_temp_spread__max,45045.330810546875,28,-0.0005709243407646669
gpu_temp_spread__mean,128958.91650390625,49,-0.0001166221529904643
gpu_temp_spread__std,26485.118194580078,16,0.0006513065970106813
gpu_temp_spread__last,8980.29296875,7,8.873800657785424e-05
gpu_temp_spread__delta,0.0,0,0.0
gpu_temp_spread__slope,0.0,0,0.0
gpu_power_max__min,51403.851623535156,18,0.00027013138413176097
gpu_power_max__max,117782.94665527344,17,-0.0019657977117483183
gpu_power_max__mean,243573.55169677734,14,0.00099128083880054
gpu_power_max__std,56734.70770263672,21,-0.0003407730745337567
gpu_power_max__last,1100.6800537109375,1,3.4932936211096166e-05
gpu_power_max__delta,0.0,0,0.0
gpu_power_max__slope,0.0,0,0.0
gpu_power_spread__min,150117.1082458496,27,-2.2324920203931065e-05
gpu_power_spread__max,108252.5553894043,47,-9.503033579438824e-05
gpu_power_spread__mean,71583.31372070312,30,0.00015745319296600613
gpu_power_spread__std,41794.97888183594,16,-1.5512583503018984e-05
gpu_power_spread__last,990.6519775390625,1,2.587618814031689e-05
gpu_power_spread__delta,0.0,0,0.0
gpu_power_spread__slope,0.0,0,0.0
gpu_fan_max__min,41760.811950683594,27,0.0006029296121251027
gpu_fan_max__max,75553.6743774414,32,0.0004679631492176539
