model,operating_point,threshold,precision,recall,f2,flagged,tp,fp,fn,recall_TIMEOUT,recall_FAILED,recall_OOM,recall_NODE_FAIL
CatBoost,default@0.5,0.5,0.05677996627469231,0.6268585807041931,0.20839524256328776,627422,35625,591797,21206,0.6099555912386783,0.5859897372103872,0.9748743718592965,0.8829365079365079
CatBoost,target_recall@0.80,0.3811675012111664,0.04562173096203432,0.8191128081504813,0.18654829353053995,1020369,46551,973818,10280,0.8095942996211456,0.8081946820090188,1.0,0.9111111111111111
CatBoost,best_F2,0.5420481562614441,0.06178518150174043,0.5596945329133748,0.21429918883229582,514816,31808,483008,25023,0.5557367589131144,0.4700668636292956,0.9089195979899497,0.8591269841269841
