name,kind,test_pr_auc,test_roc_auc,recall_global,recall_TIMEOUT,recall_FAILED,recall_OOM,recall_NODE_FAIL,base_pr_auc,note
LightGBM,tuned_single,0.07817956113334693,0.6265693961716075,0.5470429871021097,0.548034222344883,0.4956460892551703,0.8404522613065326,0.6083333333333333,0.079296476280412,
CatBoost,tuned_single,0.08603495440814633,0.6259266090842222,0.6268585807041931,0.6099555912386783,0.5859897372103872,0.9748743718592965,0.8829365079365079,0.0794668754632016,
HistGradientBoostingClassifier,tuned_single,0.06993465757943543,0.6193605404063642,0.6258907990357375,0.6271922121584665,0.5403514227958327,0.882537688442211,0.8797619047619047,0.0752257038313608,
Ensemble_mean,ensemble,0.08397373764989906,0.6295589107846082,0.5845225317168447,0.5840881150111649,0.49206966257191725,0.8655778894472361,0.8857142857142857,,LightGBM+CatBoost+HistGradientBoostingClassifier
Ensemble_rankmean,ensemble,0.08181564595323804,0.6298399121666558,0.6674878147489927,0.6596331886494217,0.6076037941222205,0.9459798994974874,0.9214285714285714,,LightGBM+CatBoost+HistGradientBoostingClassifier
